22,9,21,9
21,9,20,10
20,10,19,9
19,9,18,9
18,9,18,8
18,8,17,7
17,7,17,7
17,7,16,8
16,8,15,8
15,8,15,9
15,9,15,10
15,10,14,11
14,11,14,12
14,12,14,12
14,12,15,12
15,12,16,12
16,12,17,11
17,11,18,12
18,12,19,12
19,12,20,13
20,13,20,13
20,13,21,12
21,12,22,12
22,12,23,12
23,12,24,13
24,13,25,13
25,13,26,13
26,13,26,13
26,13,27,12
27,12,28,12
18,12,29,11
29,11,30,11
30,11,30,10
30,10,30,9
30,9,30,9
30,9,30,8
30,8,31,7
31,7,32,7
32,7,32,6
32,6,32,5
32,5,31,4
31,4,31,4
31,4,30,4
30,4,29,3
29,3,29,2
22,9,21,9
21,9,20,10
20,10,19,9
19,9,18,9
18,9,18,8
18,8,17,7
17,7,17,7
17,7,16,8
16,8,15,8
15,8,15,9
15,9,15,10
15,10,14,11
14,11,14,12
14,12,14,12
14,12,15,12
15,12,16,12
16,12,17,11
17,11,18,12
18,12,19,12
19,12,20,13
20,13,20,13
20,13,21,12
21,12,22,12
22,12,23,12
23,12,24,13
24,13,25,13
25,13,26,13
26,13,26,13
26,13,27,12
27,12,28,12
18,12,29,11
29,11,30,11
30,11,30,10
30,10,30,9
30,9,30,9
30,9,30,8
30,8,31,7
31,7,32,7
32,7,32,6
32,6,32,5
32,5,31,4
31,4,31,4
31,4,30,4
30,4,29,3
29,3,29,2
22,9,21,9
21,9,20,10
20,10,19,9
19,9,18,9
18,9,18,8
18,8,17,7
17,7,17,7
17,7,16,8
16,8,15,8
15,8,15,9
15,9,15,10
15,10,14,11
14,11,14,12
14,12,14,12
14,12,15,12
15,12,16,12
16,12,17,11
17,11,18,12
18,12,19,12
19,12,20,13
20,13,20,13
20,13,21,12
21,12,22,12
22,12,23,12
23,12,24,13
24,13,25,13
25,13,26,13
26,13,26,13
26,13,27,12
27,12,28,12
18,12,29,11
29,11,30,11
30,11,30,10
30,10,30,9
30,9,30,9
30,9,30,8
30,8,31,7
31,7,32,7
32,7,32,6
32,6,32,5
32,5,31,4
31,4,31,4
31,4,30,4
30,4,29,3
29,3,29,2
